Code	Land	2013	2014	Total 2013
01	Baden-Württemberg	37399542.00	30535997.00	421565064.95
02	Bayern	37748904.00	41774795.00	
16	Berlin	25395462.64		
11	Brandenburg	6785029.00		
03	Bremen	718878.00		
04	Hamburg	6201856.17	10373903.98	
05	Hessen	63375583.84		
12	Mecklenburg-Vorpommern	1254727.30		
06	Niedersachsen	17314970.00		
07	Nordrhein-Westfalen	42300000.00		
08	Rheinland-Pfalz	4736663.00		
09	Saarland	3279193.00	4557019.00	
13	Sachsen	155613410.00		
14	Sachsen-Anhalt	3273705.00		
10	Schleswig-Holstein	13200056.00		
15	Thüringen	2967085.00	6382725.00	
